url,name,birth_raw,position
https://goteborgsalliansen.se/spelare/Henok-Abrahamsson_143,Henok Abrahamsson,29 oktober 1909,Målvakt
https://goteborgsalliansen.se/spelare/Olle-%C3%85hlund_166,Olle Åhlund,22 augusti 1920,Mittfältare
https://goteborgsalliansen.se/spelare/Mauritz-%C3%85kervall_152,Mauritz Åkervall,8 november 1908,Försvarare
https://goteborgsalliansen.se/spelare/Conny-Aldorsson_336,Conny Aldorsson,13 januari 1945,Anfallare
https://goteborgsalliansen.se/spelare/Stefan-Allb%C3%A4ck_317,Stefan Allbäck,15 september 1947,Mittfältare
https://goteborgsalliansen.se/spelare/G%C3%B6sta-Almbjerg_308,Gösta Almbjerg,26 februari 1942,Försvarare
https://goteborgsalliansen.se/spelare/Knut-Almqvist_228,Knut Almqvist,13 januari 1924,Anfallare
https://goteborgsalliansen.se/spelare/Reine-Almqvist_311,Reine Almqvist,12 april 1949,Anfallare
https://goteborgsalliansen.se/spelare/Rolf-Almqvist_185,Rolf Almqvist,16 juli 1924,Anfallare
https://goteborgsalliansen.se/spelare/Roger-Altemark_344,Roger Altemark,22 augusti 1952,Försvarare
https://goteborgsalliansen.se/spelare/Peder-Amberntsson_328,Peder Amberntsson,23 mars 1950,Försvarare
https://goteborgsalliansen.se/spelare/%C3%85ke-Andersson_139,Åke Andersson,22 april 1917,Anfallare
https://goteborgsalliansen.se/spelare/Albert-Andersson_2,Albert Andersson,18 december 1895,Försvarare
https://goteborgsalliansen.se/spelare/Allan-Andersson_189,Allan Andersson,25 februari 1927,Anfallare
https://goteborgsalliansen.se/spelare/Bertil-Andersson+I_134,Bertil Andersson I,14 november 1909,Mittfältare
https://goteborgsalliansen.se/spelare/Bertil-Andersson+II_216,Bertil Andersson II,16 december 1929,Anfallare
https://goteborgsalliansen.se/spelare/Dick-Andersson_278,Dick Andersson,13 november 1943,Anfallare
https://goteborgsalliansen.se/spelare/Erik-Andersson_58,Erik Andersson,1 januari 1898,Försvarare
https://goteborgsalliansen.se/spelare/Ernst-Andersson_77,Ernst Andersson,26 mars 1909,Mittfältare
https://goteborgsalliansen.se/spelare/Gillis-Andersson_52,Gillis Andersson,20 februari 1895,Mittfältare
https://goteborgsalliansen.se/spelare/G%C3%B6sta-Andersson_74,Gösta Andersson,18 mars 1907,Anfallare
https://goteborgsalliansen.se/spelare/Gunnar-Andersson_218,Gunnar Andersson,14 augusti 1928,Anfallare
https://goteborgsalliansen.se/spelare/Gustaf-Andersson_125,Gustaf Andersson,16 februari 1912,Anfallare
https://goteborgsalliansen.se/spelare/Harry-Andersson_148,Harry Andersson,21 december 1912,Anfallare
https://goteborgsalliansen.se/spelare/Henry-Andersson+I_128,Henry Andersson I,18 maj 1909,Mittfältare
https://goteborgsalliansen.se/spelare/Henry-Andersson+II_135,Henry Andersson II,28 maj 1915,Mittfältare
https://goteborgsalliansen.se/spelare/Henry-Andersson+III_170,Henry Andersson III,28 oktober 1924,Målvakt
https://goteborgsalliansen.se/spelare/Karl-Andersson_54,Karl Andersson,27 februari 1896,Anfallare
https://goteborgsalliansen.se/spelare/Knut-Andersson_86,Knut Andersson,16 juni 1903,Anfallare
https://goteborgsalliansen.se/spelare/Lars-Andersson_255,Lars Andersson,4 februari 1932,Målvakt
https://goteborgsalliansen.se/spelare/Leif-Andersson_230,Leif Andersson,23 oktober 1932,Målvakt
https://goteborgsalliansen.se/spelare/Michael-Andersson_352,Michael Andersson,24 augusti 1959,Mittfältare
https://goteborgsalliansen.se/spelare/Nils-Andersson_39,Nils Andersson,1 september 1903,Mittfältare
https://goteborgsalliansen.se/spelare/Otto-Andersson_110,Otto Andersson,7 maj 1910,Försvarare
https://goteborgsalliansen.se/spelare/Stellan-Andersson_59,Stellan Andersson,25 oktober 1902,Anfallare
https://goteborgsalliansen.se/spelare/Stig-Andersson+I_191,Stig Andersson I,10 oktober 1925,Anfallare
https://goteborgsalliansen.se/spelare/Stig-Andersson+II_271,Stig Andersson II,2 januari 1936,Anfallare
https://goteborgsalliansen.se/spelare/Verner-Andersson_17,Verner Andersson,3 juni 1904,Mittfältare
https://goteborgsalliansen.se/spelare/Verner-Andersson_17,Verner Andersson,3 juni 1904,Mittfältare
https://goteborgsalliansen.se/spelare/Nils-Andreasson_106,Nils Andreasson,20 maj 1906,Mittfältare
https://goteborgsalliansen.se/spelare/Erik-Angren_120,Erik Angren,1 oktober 1914,Målvakt
https://goteborgsalliansen.se/spelare/Josef-Appelgren_99,Josef Appelgren,29 september 1890,Anfallare
https://goteborgsalliansen.se/spelare/Sven-Appelgren_219,Sven Appelgren,8 september 1927,Försvarare
https://goteborgsalliansen.se/spelare/Kurt-Axelsson_292,Kurt Axelsson,10 november 1941,Försvarare
https://goteborgsalliansen.se/spelare/Kent-B%C3%A4ck_295,Kent Bäck,6 mars 1942,Försvarare
https://goteborgsalliansen.se/spelare/Leif-Beckman_205,Leif Beckman,4 augusti 1923,Försvarare
https://goteborgsalliansen.se/spelare/Algot-Bengtsson_70,Algot Bengtsson,16 september 1900,Mittfältare
https://goteborgsalliansen.se/spelare/Gunnar-Bengtsson_141,Gunnar Bengtsson,18 september 1912,Anfallare
https://goteborgsalliansen.se/spelare/Holger-Bengtsson_147,Holger Bengtsson,3 november 1912,Anfallare
https://goteborgsalliansen.se/spelare/Holger-Bengtsson_147,Holger Bengtsson,3 november 1912,Anfallare
https://goteborgsalliansen.se/spelare/Olle-Bengtsson_16,Olle Bengtsson,28 februari 1908,Målvakt
https://goteborgsalliansen.se/spelare/Fritz-Berg_112,Fritz Berg,3 november 1909,Mittfältare
https://goteborgsalliansen.se/spelare/Yngve-Bergfelt_204,Yngve Bergfelt,17 april 1927,Målvakt
https://goteborgsalliansen.se/spelare/Gunnar-Berghult_127,Gunnar Berghult,17 maj 1913,Målvakt
https://goteborgsalliansen.se/spelare/%C3%85ke-Bergling_296,Åke Bergling,4 februari 1943,Målvakt
https://goteborgsalliansen.se/spelare/Roland-Bergl%C3%B6v_198,Roland Berglöv,21 januari 1926,Mittfältare
https://goteborgsalliansen.se/spelare/Erik-Bergqvist_179,Erik Bergqvist,5 mars 1922,Anfallare
https://goteborgsalliansen.se/spelare/Kurt-Bergsten_155,Kurt Bergsten,24 juni 1912,Anfallare
https://goteborgsalliansen.se/spelare/Algot-Bergstr%C3%B6m_81,Algot Bergström,23 december 1909,Anfallare
https://goteborgsalliansen.se/spelare/Edvin-Bergstr%C3%B6m_156,Edvin Bergström,25 juni 1916,Anfallare
https://goteborgsalliansen.se/spelare/Bengt-Berndtsson_220,Bengt Berndtsson,26 januari 1933,Anfallare
https://goteborgsalliansen.se/spelare/Mikael-Berthagen_345,Mikael Berthagen,5 november 1954,Försvarare
https://goteborgsalliansen.se/spelare/Bengt-Bertilsson_304,Bengt Bertilsson,21 mars 1949,Målvakt
https://goteborgsalliansen.se/spelare/Allan-Billing_69,Allan Billing,12 juli 1901,Mittfältare
https://goteborgsalliansen.se/spelare/Stig-Bj%C3%B6rklund_177,Stig Björklund,23 augusti 1923,Mittfältare
https://goteborgsalliansen.se/spelare/Joel-Bj%C3%B6rkman_47,Joel Björkman,23 juli 1890,Anfallare
https://goteborgsalliansen.se/spelare/Leif-Bj%C3%B6rkman_196,Leif Björkman,11 oktober 1924,Försvarare
https://goteborgsalliansen.se/spelare/Stig-Bj%C3%B6rkman_210,Stig Björkman,17 november 1924,Försvarare
https://goteborgsalliansen.se/spelare/Rolf-Blomqvist_327,Rolf Blomqvist,4 mars 1947,Målvakt
https://goteborgsalliansen.se/spelare/Thomas-Bloom_318,Thomas Bloom,29 september 1947,Mittfältare
https://goteborgsalliansen.se/spelare/G%C3%B6sta-Bohman_136,Gösta Bohman,27 augusti 1911,Anfallare
https://goteborgsalliansen.se/spelare/Bo-B%C3%B6rjesson_330,Bo Börjesson,1 december 1949,Anfallare
https://goteborgsalliansen.se/spelare/Erik-B%C3%B6rjesson_44,Erik Börjesson,1 december 1886,Anfallare
https://goteborgsalliansen.se/spelare/Helge-B%C3%B6rjesson_275,Helge Börjesson,15 november 1931,Försvarare
https://goteborgsalliansen.se/spelare/Reino-B%C3%B6rjesson_194,Reino Börjesson,4 februari 1929,Anfallare
https://goteborgsalliansen.se/spelare/Reino-B%C3%B6rjesson_194,Reino Börjesson,4 februari 1929,Anfallare
https://goteborgsalliansen.se/spelare/Rune-B%C3%B6rjesson_239,Rune Börjesson,5 april 1937,Anfallare
https://goteborgsalliansen.se/spelare/Rune-B%C3%B6rjesson_239,Rune Börjesson,5 april 1937,Anfallare
https://goteborgsalliansen.se/spelare/S%C3%B6ren-B%C3%B6rjesson_339,Sören Börjesson,14 mars 1956,Anfallare
https://goteborgsalliansen.se/spelare/Yngve-Brodd_267,Yngve Brodd,9 juni 1930,Anfallare
https://goteborgsalliansen.se/spelare/Bror-Carlsson_41,Bror Carlsson,28 juni 1897,Anfallare
https://goteborgsalliansen.se/spelare/Gottfrid-Carlsson_79,Gottfrid Carlsson,10 september 1909,Målvakt
https://goteborgsalliansen.se/spelare/Kjell-%C3%85ke-Carlsson_309,Kjell-Åke Carlsson,2 januari 1946,Mittfältare
https://goteborgsalliansen.se/spelare/Viktor-Carlund_93,Viktor Carlund,5 februari 1906,Mittfältare
https://goteborgsalliansen.se/spelare/Lars-Cato_245,Lars Cato,12 november 1925,Mittfältare
https://goteborgsalliansen.se/spelare/Rolf-Christensson_131,Rolf Christensson,26 december 1912,Anfallare
https://goteborgsalliansen.se/spelare/Leif-Claesson_300,Leif Claesson,17 december 1940,Anfallare
https://goteborgsalliansen.se/spelare/Ingemar-Clarin_213,Ingemar Clarin,30 december 1927,Mittfältare
https://goteborgsalliansen.se/spelare/G%C3%B6sta-Clark_11,Gösta Clark,26 maj 1895,Anfallare
https://goteborgsalliansen.se/spelare/Dan-Corneliusson_350,Dan Corneliusson,2 oktober 1961,Anfallare
https://goteborgsalliansen.se/spelare/Lasse-Dahlenborg_37,Lasse Dahlenborg,18 juli 1895,Anfallare
https://goteborgsalliansen.se/spelare/Peter-Dahlqvist_348,Peter Dahlqvist,12 januari 1956,Mittfältare
https://goteborgsalliansen.se/spelare/Erik-Eiserman_26,Erik Eiserman,9 augusti 1892,Mittfältare
https://goteborgsalliansen.se/spelare/Nils-Ekeroth_223,Nils Ekeroth,28 april 1930,Mittfältare
https://goteborgsalliansen.se/spelare/Rolf-Ekl%C3%B6f_266,Rolf Eklöf,24 juli 1938,Anfallare
https://goteborgsalliansen.se/spelare/H%C3%A5kan-Eklund_306,Håkan Eklund,18 december 1941,Anfallare
https://goteborgsalliansen.se/spelare/Dan-Ekner_202,Dan Ekner,5 juli 1927,Anfallare
https://goteborgsalliansen.se/spelare/Erland-Ekstr%C3%B6m_186,Erland Ekström,28 mars 1918,Anfallare
https://goteborgsalliansen.se/spelare/Karl-Erik-Eliasson_133,Karl-Erik Eliasson,22 april 1916,Anfallare
https://goteborgsalliansen.se/spelare/G%C3%B6te-Ellstr%C3%B6m_154,Göte Ellström,27 augusti 1916,Mittfältare
https://goteborgsalliansen.se/spelare/Rune-Emanuelsson_183,Rune Emanuelsson,8 oktober 1923,Mittfältare
https://goteborgsalliansen.se/spelare/Bertil-Ericsson_97,Bertil Ericsson,6 november 1908,Anfallare
https://goteborgsalliansen.se/spelare/Bj%C3%B6rn-Eriksson_286,Björn Eriksson,10 september 1943,Mittfältare
https://goteborgsalliansen.se/spelare/Ingemar-Eriksson_242,Ingemar Eriksson,9 maj 1929,Mittfältare
https://goteborgsalliansen.se/spelare/Nils-Eriksson_182,Nils Eriksson,2 mars 1916,Försvarare
https://goteborgsalliansen.se/spelare/Per-Erik-Eriksson_333,Per-Erik Eriksson,15 september 1945,Anfallare
https://goteborgsalliansen.se/spelare/Kaj-Eskelinen_362,Kaj Eskelinen,21 februari 1969,Anfallare
https://goteborgsalliansen.se/spelare/-Eus%C3%A9bio_315,Eusébio,25 januari 1942,Anfallare
https://goteborgsalliansen.se/spelare/Axel-F%C3%A4rnstr%C3%B6m_227,Axel Färnström,20 november 1925,Anfallare
https://goteborgsalliansen.se/spelare/Gunnar-Forsberg_130,Gunnar Forsberg,17 mars 1911,Anfallare
https://goteborgsalliansen.se/spelare/Leif-Forsberg_224,Leif Forsberg,6 oktober 1932,Anfallare
https://goteborgsalliansen.se/spelare/Eine-Fredriksson_319,Eine Fredriksson,5 mars 1950,Mittfältare
https://goteborgsalliansen.se/spelare/Folke-Fredriksson_237,Folke Fredriksson,10 juni 1927,Mittfältare
https://goteborgsalliansen.se/spelare/Sven-Friberg_25,Sven Friberg,7 februari 1895,Mittfältare
https://goteborgsalliansen.se/spelare/Rolf-Gardtman_100,Rolf Gardtman,18 augusti 1907,Anfallare
https://goteborgsalliansen.se/spelare/Rolf-Gardtman_100,Rolf Gardtman,18 augusti 1907,Anfallare
https://goteborgsalliansen.se/spelare/Evert-Grahn_178,Evert Grahn,21 maj 1921,Anfallare
https://goteborgsalliansen.se/spelare/Evert-Grahn_178,Evert Grahn,21 maj 1921,Anfallare
https://goteborgsalliansen.se/spelare/Erik-Granath_83,Erik Granath,12 oktober 1910,Mittfältare
https://goteborgsalliansen.se/spelare/Krister-Granbom_288,Krister Granbom,9 april 1941,Anfallare
https://goteborgsalliansen.se/spelare/Joakim-Grandelius_361,Joakim Grandelius,20 september 1970,Mittfältare
https://goteborgsalliansen.se/spelare/Tryggve-Granqvist_211,Tryggve Granqvist,25 december 1925,Anfallare
https://goteborgsalliansen.se/spelare/Kent-Grek_274,Kent Grek,27 april 1942,Försvarare
https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,Gunnar Gren,31 oktober 1920,Anfallare
https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,Gunnar Gren,31 oktober 1920,Anfallare
https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,Gunnar Gren,31 oktober 1920,Anfallare
https://goteborgsalliansen.se/spelare/Gunnar-Gren_173,Gunnar Gren,31 oktober 1920,Anfallare
https://goteborgsalliansen.se/spelare/Lars-Gunnskog_280,Lars Gunnskog,6 augusti 1941,Målvakt
https://goteborgsalliansen.se/spelare/Gustaf-Gustafsson_82,Gustaf Gustafsson,6 november 1902,Mittfältare
https://goteborgsalliansen.se/spelare/Magnus-Gustafsson_367,Magnus Gustafsson,24 januari 1967,Anfallare
https://goteborgsalliansen.se/spelare/Rolf-Gustafsson_171,Rolf Gustafsson,21 april 1920,Försvarare
https://goteborgsalliansen.se/spelare/%C3%85ke-Gustavsson_276,Åke Gustavsson,10 mars 1935,Mittfältare
https://goteborgsalliansen.se/spelare/Christer-Gustavsson_321,Christer Gustavsson,24 mars 1949,Försvarare
https://goteborgsalliansen.se/spelare/Patrik-Gustavsson_364,Patrik Gustavsson,13 januari 1965,Mittfältare
https://goteborgsalliansen.se/spelare/Ragnar-Gustavsson_71,Ragnar Gustavsson,28 september 1907,Anfallare
https://goteborgsalliansen.se/spelare/Jonny-H%C3%A4ger%C3%A5_357,Jonny Hägerå,10 september 1971,Mittfältare
https://goteborgsalliansen.se/spelare/Per-Olof-Hagman_341,Per-Olof Hagman,30 januari 1956,Försvarare
https://goteborgsalliansen.se/spelare/Sjunne-Hallberg_27,Sjunne Hallberg,12 april 1893,Anfallare
https://goteborgsalliansen.se/spelare/Thomas-Hallberg_379,Thomas Hallberg,18 mars 1967,Mittfältare
https://goteborgsalliansen.se/spelare/%C3%85ke-Hallman_162,Åke Hallman,12 november 1912,Anfallare
https://goteborgsalliansen.se/spelare/Sven-Hammar_122,Sven Hammar,26 maj 1911,Anfallare
https://goteborgsalliansen.se/spelare/Nils-Hans%C3%A9n_241,Nils Hansén,18 april 1920,Målvakt
https://goteborgsalliansen.se/spelare/%C3%85ke-Hansson_15,Åke Hansson,16 april 1903,Mittfältare
https://goteborgsalliansen.se/spelare/%C3%85ke-Hansson_15,Åke Hansson,16 april 1903,Mittfältare
https://goteborgsalliansen.se/spelare/Evert-Hansson_78,Evert Hansson,23 februari 1908,Anfallare
https://goteborgsalliansen.se/spelare/Holger-Hansson_197,Holger Hansson,26 januari 1927,Mittfältare
https://goteborgsalliansen.se/spelare/Knut-Hansson_146,Knut Hansson,9 maj 1911,Anfallare
https://goteborgsalliansen.se/spelare/Per-Olof-Hansson_248,Per-Olof Hansson,24 mars 1932,Mittfältare
https://goteborgsalliansen.se/spelare/Rolf-Hansson_294,Rolf Hansson,1 december 1943,Försvarare
https://goteborgsalliansen.se/spelare/Viktor-Hansson_55,Viktor Hansson,26 augusti 1893,Anfallare
https://goteborgsalliansen.se/spelare/Lars-Ove-Haraldsson_298,Lars-Ove Haraldsson,21 juli 1942,Mittfältare
https://goteborgsalliansen.se/spelare/Kent-Harman_312,Kent Harman,22 april 1943,Målvakt
https://goteborgsalliansen.se/spelare/Einar-Hedeberg_62,Einar Hedeberg,23 oktober 1898,Anfallare
https://goteborgsalliansen.se/spelare/Christer-Heideberg_301,Christer Heideberg,8 februari 1942,Försvarare
https://goteborgsalliansen.se/spelare/Henning-Helgesson_60,Henning Helgesson,28 mars 1900,Mittfältare
https://goteborgsalliansen.se/spelare/Ove-Helm%C3%A9r_246,Ove Helmér,7 maj 1933,Anfallare
https://goteborgsalliansen.se/spelare/Lars-Henriksson_244,Lars Henriksson,4 oktober 1930,Försvarare
https://goteborgsalliansen.se/spelare/Gustaf-Hermansson_34,Gustaf Hermansson,1 maj 1900,Anfallare
https://goteborgsalliansen.se/spelare/Fritjof-Hill%C3%A9n_42,Fritjof Hillén,19 maj 1893,Försvarare
https://goteborgsalliansen.se/spelare/Alf-Hjelm_89,Alf Hjelm,28 december 1902,Anfallare
https://goteborgsalliansen.se/spelare/Erik-Hjelm_10,Erik Hjelm,22 maj 1893,Anfallare
https://goteborgsalliansen.se/spelare/Gunder-H%C3%B6gstr%C3%B6m_302,Gunder Högström,17 januari 1944,Försvarare
https://goteborgsalliansen.se/spelare/Gunnar-Holmberg_61,Gunnar Holmberg,6 maj 1897,Mittfältare
https://goteborgsalliansen.se/spelare/Karl-Erik-Holmberg_73,Karl-Erik Holmberg,17 juli 1906,Anfallare
https://goteborgsalliansen.se/spelare/Ivan-Holmdahl_35,Ivan Holmdahl,28 juli 1894,Målvakt
https://goteborgsalliansen.se/spelare/Vallentin-Hult%C3%A9n_92,Vallentin Hultén,14 februari 1911,Försvarare
https://goteborgsalliansen.se/spelare/Olof-Hultfeldt_91,Olof Hultfeldt,17 september 1911,Mittfältare
https://goteborgsalliansen.se/spelare/Erik-Hultgren_88,Erik Hultgren,3 mars 1903,Försvarare
https://goteborgsalliansen.se/spelare/Erik-Hys%C3%A9n_87,Erik Hysén,18 maj 1906,Anfallare
https://goteborgsalliansen.se/spelare/Glenn-Hys%C3%A9n_354,Glenn Hysén,30 oktober 1959,Försvarare
https://goteborgsalliansen.se/spelare/Glenn-Hys%C3%A9n_354,Glenn Hysén,30 oktober 1959,Försvarare
https://goteborgsalliansen.se/spelare/Jethro-Jackson_373,Jethro Jackson,16 maj 1973,Mittfältare
https://goteborgsalliansen.se/spelare/Karl-Alfred-Jacobsson_208,Karl-Alfred Jacobsson,15 januari 1926,Anfallare
https://goteborgsalliansen.se/spelare/Sanny-Jacobsson_215,Sanny Jacobsson,6 juli 1930,Anfallare
https://goteborgsalliansen.se/spelare/Sven-Jacobsson_144,Sven Jacobsson,17 april 1914,Mittfältare
https://goteborgsalliansen.se/spelare/Lars-Jangblad_221,Lars Jangblad,11 januari 1931,Anfallare
https://goteborgsalliansen.se/spelare/Bertil-Jansson_231,Bertil Jansson,17 juli 1932,Försvarare
https://goteborgsalliansen.se/spelare/Per-%C3%85ke-Jansson_272,Per-Åke Jansson,5 mars 1938,Anfallare
https://goteborgsalliansen.se/spelare/S%C3%B6ren-J%C3%A4rel%C3%B6v_353,Sören Järelöv,10 januari 1965,Målvakt
https://goteborgsalliansen.se/spelare/Hasse-Jeppson_190,Hasse Jeppson,10 maj 1925,Anfallare
https://goteborgsalliansen.se/spelare/Hasse-Jeppson_190,Hasse Jeppson,10 maj 1925,Anfallare
https://goteborgsalliansen.se/spelare/Rune-Jing%C3%A5rd_200,Rune Jingård,16 februari 1925,Anfallare
https://goteborgsalliansen.se/spelare/Kurt-Johanson_270,Kurt Johanson,30 april 1932,Målvakt
https://goteborgsalliansen.se/spelare/Baldwin-Johansson_45,Baldwin Johansson,10 mars 1898,Anfallare
https://goteborgsalliansen.se/spelare/Bebben-Johansson_235,Bebben Johansson,22 mars 1935,Anfallare
https://goteborgsalliansen.se/spelare/Bengt-G%C3%B6ran-Johansson_247,Bengt-Göran Johansson,16 mars 1934,Anfallare
https://goteborgsalliansen.se/spelare/Bo-Johansson_284,Bo Johansson,6 oktober 1941,Mittfältare
https://goteborgsalliansen.se/spelare/Einar-Johansson_56,Einar Johansson,19 maj 1899,Målvakt
https://goteborgsalliansen.se/spelare/Elam-Johansson_53,Elam Johansson,23 februari 1896,Mittfältare
https://goteborgsalliansen.se/spelare/Erik-Johansson_64,Erik Johansson,10 mars 1900,Mittfältare
https://goteborgsalliansen.se/spelare/Filip-Johansson_20,Filip Johansson,21 januari 1902,Anfallare
https://goteborgsalliansen.se/spelare/Folke-Johansson_151,Folke Johansson,19 juni 1916,Försvarare
https://goteborgsalliansen.se/spelare/Gunnar-Johansson_209,Gunnar Johansson,29 februari 1924,Mittfältare
https://goteborgsalliansen.se/spelare/Gustaf-Johansson_46,Gustaf Johansson,2 maj 1893,Mittfältare
https://goteborgsalliansen.se/spelare/Gustav-Johansson_66,Gustav Johansson,14 augusti 1900,Målvakt
https://goteborgsalliansen.se/spelare/Hans-Johansson_314,Hans Johansson,30 december 1945,Anfallare
